Country,2024 Spending
Saudi Arabia,"$56,930,546"
China,"$54,113,387"
Japan,"$53,005,905"
Turkey,"$28,194,435"
Ireland,"$26,059,269"
Marshall Islands,"$25,168,534"
United Arab Emirates,"$24,417,114"
Bermuda,"$21,273,118"
South Korea,"$19,544,366"
Canada,"$19,197,360"
